eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,BMWPscore,Endlatitude,Endlongitude,geodeticDatum,countryCode
NU3FI_A,NU4FI_W5,Humanobservation,11/09/2025,Animalia,Trichoptera,,Cased_caddisfly_larvae,Order,3,3,Individuals,Present,N55 42.464,W005 17.036,"5,10",,,WGS84,GB
NU3FI_A,NU4FI_W6,Humanobservation,11/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Family,1,1,Individuals,Present,N55 42.464 ,W005 17.036,,,,WGS84,GB
ND4FI_A,ND4FI_W1,Humanobservation,11/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,4,4,Individuals,Present,N55 42.444,W005 17.068,7,,,WGS84,GB
ND4FI_A,ND4FI_W2,Humanobservation,11/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,2,2,Individuals,Present,N55 42.444,W005 17.068,10,,,WGS84,GB
ND4FI_A,ND4FI_W3,Humanobservation,11/09/2025,Animalia,Coleoptera,,Waterbeetle ,Order,1,1,Individuals,Present,N55 42.444,W005 17.068,5,,,WGS84,GB
ND4FI_A,ND4FI_W4,Humanobservation,11/09/2025,Animalia,Oligochaeta,,Worm,Order,2,2,Individuals,Present,N55 42.444,W005 17.068,1,,,WGS84,GB
ND4FI_A,ND4FI_E1,Humanobservation,12/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Family,1,1,Individuals,Present,N55 42.174,W005 15.983,,,,WGS84,GB
ND4FI_A,ND4FI_E2,Humanobservation,12/09/2025,Animalia,Oligochaeta,,Worm,Order,3,3,Individuals,Present,N55 42.174,W005 15.983,1,,,WGS84,GB
ND4FI_A,ND4FI_E3,Humanobservation,12/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,1,1,Individuals,Present,N55 42.174,W005 15.983,7,,,WGS84,GB
ND4FI_A,ND4FI_E4,Humanobservation,12/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,3,3,Individuals,Present,N55 42.174,W005 15.983,10,,,WGS84,GB
ND4FI_A,ND4FI_E5,Humanobservation,12/09/2025,Animalia,Coleoptera,,Waterbeetle_larvae,Order,1,1,Individuals,Present,N55 42.174,W005 15.983,5,,,WGS84,GB
ND4FI_A,ND4FI_E6,Humanobservation,12/09/2025,Animalia,Trichoptera,,Cased_caddisfly_larvae,Order,2,2,Individuals,Present,N55 42.174,W005 15.983,"5, 10",,,WGS84,GB
NU3FI_B,NU4FI_E1,Humanobservation,12/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,2,2,Individuals,Present,N55 42.261,W005 16.032,7,,,WGS84,GB
NU3FI_B,NU4FI_E2,Humanobservation,12/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,1,1,Individuals,Present,N55 42.261,W005 16.032,10,,,WGS84,GB
NU3FI_B,NU4FI_E3,Humanobservation,12/09/2025,Animalia,Oligochaeta,,Worm,Order,1,1,Individuals,Present,N55 42.261,W005 16.032,1,,,WGS84,GB
SD4FI_B,SD4FI_B1,Humanobservation,11/09/2025,Animalia,Coleoptera,dytiscidae,Diving_beetle,Family,1,1,Individuals,Present,N55 42.261,W005 16.032,5,,,WGS84,GB
SD4FI_B,SD4FI_B2,Humanobservation,11/09/2025,Animalia,Hemiptera,Corixidae,Lesser Water Boatman,Family,4,4,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB
SD4FI_B,SD4FI_B3,Humanobservation,11/09/2025,Animalia,Odonata,zygoptera ,Damselfly_larvae,Suborder,2,2,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB
SD4FI_B,SD4FI_B4,Humanobservation,11/09/2025,Animalia,Odonata,anisoptera,Dragonfly_larvae,Infraorder,3,3,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB
SD4FI_B,SD4FI_B5,Humanobservation,11/09/2025,Animalia,Hemiptera,Notonectidae,Greater Water Boatman,Family,2,2,Individuals,Present,N55 41.802,W005 16.876,,,,WGS84,GB
SU4FI_B,SU4FI_B1,Humanobservation,11/09/2025,Animalia,Ephemeroptera,,Mayfly_larvae,Order,2,2,Individuals,Present,,,10,,,WGS84,GB
SU4FI_B,SU4FI_B2,Humanobservation,11/09/2025,Animalia,Plecoptera,,Stonefly_larvae,Order,1,1,Individuals,Present,,,7,,,WGS84,GB
SU4FI_B,SU4FI_B3,Humanobservation,11/09/2025,Animalia,Trichoptera,,Caddisfly_case,Order,1,1,Individuals,Present,,,"5, 10",,,WGS84,GB
SU4FI_B,SU4FI_B4,Humanobservation,11/09/2025,Animalia,Diptera,simuliidae,Blackfly_larvae,Family,1,1,Individuals,Present,,,1,,,WGS84,GB
